Protein IDs	Reporter intensity 1 PNNL SC Chip 1 B	Reporter intensity 2 PNNL SC Chip 1 B	Reporter intensity 3 PNNL SC Chip 1 B	Reporter intensity 4 PNNL SC Chip 1 B	Reporter intensity 5 PNNL SC Chip 1 B	Reporter intensity 6 PNNL SC Chip 1 B	Reporter intensity 7 PNNL SC Chip 1 B	Reporter intensity 8 PNNL SC Chip 1 B	Reporter intensity 9 PNNL SC Chip 1 B	Reporter intensity 10 PNNL SC Chip 1 B
P61626	534.44	843.88	3131.1	2217.8	2363.2	2190.7	1452.7	2005.6	0	64150
P61803	1549	991.11	2390.9	1426.7	1836.3	1538.8	1855.8	1888.7	0	71852
P61916	540.97	486.73	647.04	305.05	818.24	1788.3	1607.8	2527.5	0	93928
P61956;Q6EEV6;P55854	1849	835.73	2355	1826.5	3385.2	1918.6	1806	6269.7	320.77	170600
P61978	23911	10257	22299	23751	27582	20050	22930	41284	895.27	1375300
P61981	11014	3455.8	12717	12165	13665	9796.8	7200.6	10824	0	325740
P62081	7745.4	3248	6644.2	6153.9	9166.8	6254.4	4776.3	8750.3	0	230610
P62136	14449	6848.2	13810	14123	18684	13799	13263	19677	704.1	599860
P62191	0	0	0	0	0	0	0	0	0	0
P62195;Q8NB90	2765.7	304.92	2137.8	2745.5	2737.4	1508.9	1872.4	1416.9	0	95581
P62241	11160	1957.2	12299	12344	12663	10527	14067	32433	1099.5	1004200
P62244	1432.6	808.49	1762.1	2961.3	1859	964.38	1564.2	800.37	0	20404
P62249	9841.4	2123.1	10301	11274	11134	7170.2	8165.6	13210	0	503550
P62258	36503	8888.9	26076	26427	39259	32840	31648	67860	368.88	2303600
P62263	777.54	0	784.42	752.47	716.29	514.52	741.82	1471.9	0	39722
P62266	12269	4661.1	26029	12106	15669	9273.8	8292.3	17149	335.81	504750
P62269	25994	16412	22779	19781	27469	16439	19184	36690	1293.9	1388600
P62273	1274.5	1654.9	2507.8	2630.6	5051.6	4256.5	2282.7	1047.4	0	34240
P62277	13900	8127.1	18196	13473	17152	13468	13703	17459	845.45	696460
P62280	31669	7726.4	24355	23305	25922	18303	18912	38034	0	1401400
P62304	407.4	550.94	460.93	435.2	1777.7	751.41	652.97	598.75	0	29177
P62314	406.66	308.14	572.5	842.86	540.64	652.57	646.32	1362.8	0	45264
P62316	3893.8	882.96	3280.2	2668.7	3285.3	3101.2	5080.8	5515.1	0	211450
P62318	1565.5	481.36	1614.3	1769.2	1780.7	1189.1	2292.5	3957.8	0	156910
P62328	5354.8	969.2	4135.9	1106.3	1214.2	454.48	1249.2	1513.3	0	85208
P62333	2666.1	2567.7	4201.4	3234.2	4523.3	2041.1	2365.9	4495.5	0	118070
P62424	15161	5182.8	13765	14875	16220	14467	17166	26631	380.36	895950
P62495	734.82	0	773.03	1196.8	795.02	878.6	496.92	1846.9	0	43905
P62633	1442.7	661.25	2067.9	1763.4	2268.8	1616	1386.4	5292.7	0	183840
P62701;P22090;Q8TD47	9326	1985.2	9502.9	8019.1	9513.6	6877.3	9838.8	18264	0	806490
P67775;P62714	0	0	0	0	0	0	0	0	0	0
P62736;P63267	2111.8	2649.5	4479.4	2020.4	4138.8	1145	1172.8	958.64	0	30756
P62750	8887.9	2660.1	7134.6	7543.3	9073.9	5199.8	7422	27655	758.51	646380
P62753	16293	5248.1	14466	14020	15960	10168	9993	19161	0	528600
P62805	60866	13697	66787	47865	80427	72445	29062	44986	756.11	1572000
P62820;Q9H0U4;Q92928;Q92930;P61006;P51153;P59190	16617	7638.7	13577	12053	26559	11335	14802	21774	357.76	714590
P62826	16914	10835	20040	18298	99556	17001	15845	36689	390.55	1133800
P62829	6418.2	773.7	6138.3	6341.7	5602.9	4061.6	6508.2	9831.8	1054	353810
P62841	4996.3	3235	5744.3	5907	9374.6	3626.6	1683	4980.5	0	159460
P62847	7183.6	1111.7	4201.7	5925.6	4424.8	3732.4	1257.6	1594.1	0	43890
P62851	11617	3269.4	11930	10812	11841	7238	11709	22531	373.67	862880
P62854;Q5JNZ5	9468.1	3855.6	7077.2	7381	10070	4172.9	8024.4	10808	0	347770
P62857	5709.2	1822.1	6064	4388.9	5678.9	4716.6	7042.9	8262.5	395.06	408730
P62861	19034	12154	21180	23648	21067	20391	28637	19883	4029.2	606650
P62873;P16520	4378.9	2044	4419.8	4052	7350.4	3727.9	5053.4	11254	0	239530
P62877	0	0	0	0	0	0	0	0	0	0
P62879;Q9HAV0	9725.6	7627.8	12459	11257	26621	11975	12845	14941	0	530710
P62888	2038.5	381.65	2256.5	2280.9	1847.7	1667.4	2137	2374.6	0	100140
Q59GN2;P62891	2918.2	942.24	2062.1	1731.1	1958.2	2208.3	5685.3	2854.9	310.65	75021
P62899	8987.5	4150.2	8153.1	8165.8	10928	6976.9	9219.2	22182	460.09	682000
P62906	15736	6791.9	21341	17099	18621	12926	12054	20304	617.04	632290
P62910	7109.6	3461.8	7817.1	7625.1	8246.8	4798	8944	26765	571.84	787110
P62913	11186	4336.5	10169	13342	16051	7936.7	10400	18297	474.41	741130
P62917	20431	13876	29508	26446	40287	24778	20552	30025	857.48	1104700
P62937;P0DN26;A0A0B4J2A2;A0A075B767;A0A075B759;Q9Y536;F5H284;P0DN37;O43447	73147	12366	70122	71775	82148	73184	56283	92484	2765.1	3319700
P62942	546.46	0	0	562.2	913.93	518.25	515.08	884.87	0	29972
P62993	0	0	600.77	328.1	0	0	414.84	842.92	0	27844
P63010;Q10567	16605	5791.3	12648	12540	17462	13167	12251	22818	321.51	673490
Q15836;P63027	0	0	0	379.97	562.12	390.09	511.26	1610.6	0	37934
P63092;Q5JWF2;P11488;P19087;A8MTJ3;P38405	3281.2	1718	2734.3	2895.4	3856.6	3243.8	3717.4	4769.5	0	134290
P63098	604.08	0	667.44	285.2	458.02	268.23	0	535.26	0	25718
P63104;REV__P53355	63860	15523	57898	46752	66974	61046	28981	37361	1585.4	1280000
P63167	4520.4	2510.5	6643.4	7045.9	5239.2	3046	4808.8	6487.7	414.48	184140
P63173	6415.6	1437.1	4894.9	4597.8	5158.6	3102.8	5020.6	6838.9	0	355140
P63208	903	645.22	802.71	773.56	1305.3	488.1	1223	2076.2	0	90849
P63218	0	0	0	0	0	0	0	0	0	0
P63220	689.35	697	662.1	1116.5	1722.7	792.79	816.57	921.43	0	34755
P63241;Q6IS14;Q9GZV4	9020.7	1435.7	10522	10984	8846.2	5477.8	4674.6	10808	0	391070
P63244	19398	8862.2	17851	19866	30501	17262	19362	42294	404.04	1261400
P63252	0	0	0	0	0	0	0	0	0	0
P63261	816.74	249.77	301.91	0	470.58	649.4	616.06	718.78	0	19843
P63279	1594	337.03	1548.4	1963.7	1891.3	1602.4	2266.3	4551.1	0	136350
P67809;Q9Y2T7;P16989	5514.1	4196.3	5239.6	5008.6	10967	4689.6	5125.5	10843	0	389420
P67870	0	0	0	0	0	0	0	0	0	0
P67936;Q2TAC2	8661.8	1683.9	4454	4255.9	5430.9	4410	3238.9	6592.6	310.19	241080
P68032;P68133	4659.4	2125.8	3105.6	4415.7	4669.2	3742.6	8007.5	23719	0	651340
P68036	3632.6	1527.2	3813.6	2213.3	3509.5	2383.7	2138	3324.9	0	113560
P68104;Q5VTE0;Q05639	159960	30482	105510	122290	107500	75158	63392	120420	4887.1	4249200
P68363;P68366	5613.6	1504.3	3395.6	4229.4	4804.7	4238.2	4706.1	13343	0	438500
P68371;P04350	2648.2	627.05	1480.7	1888	1466.9	2179	2261.8	4397.9	271.38	138370
Q8NEV1;P68400	429.83	345.55	545.8	686.23	617.72	606.9	438.8	0	0	7907.5
P68402	2081.9	1827.6	2589.5	2648.1	12973	2131.9	2338.3	1275.4	361.17	32472
Q71DI3;Q16695;P84243;P68431;Q6NXT2;P0DPK2;P0DPK5	234150	31426	232590	149490	239160	236580	84470	180970	5780	6928500
P78344	0	0	0	0	0	0	0	0	0	0
P78371	11322	4545.6	10644	8356.5	11455	7985.7	7158.7	16600	0	565210
P81605	4067	4207.2	3536.5	2574	3771.4	2356.9	2796.2	415.61	0	5860.2
P82979	1671.6	322.29	1465.4	1091.4	2452.3	1211.9	1531.4	2940.1	0	91939
P83731	16610	4036.6	11909	13206	16835	11638	11960	13964	0	649560
P83881;Q969Q0	7160.8	1799	6827.7	6847.7	7470.7	4210.7	4470.6	8632	0	296330
P84074	0	0	0	0	0	0	0	0	0	0
P84090	2600.5	567.85	2723.5	2510.8	6267.1	2114	4904.9	9893.3	282.36	382420
P84095	0	0	0	0	0	0	0	0	0	0
P84098	0	0	0	0	0	0	299.14	0	0	10435
P84103	4613.2	2669.3	4289.6	3582.3	7118.9	4289.5	6912.5	10314	0	366840
P98095	1181.2	965.97	670.98	624.14	808.37	888.85	2190.7	6552.8	0	234070
P98160	1719.4	946.12	2760.1	3016.9	3259.5	2465.8	3486.9	6762.7	0	218500
P98179	1345	843.89	1506.8	511.93	1594.3	1549.2	1564	1805.1	0	69355
Q00325	11677	1634.3	6014.4	6958.8	6451.1	5963.6	8782.7	17021	0	697570
Q00341	9839.7	4799.7	9784.6	6832.7	15268	11327	12937	17397	337.87	599980
Q00526;P06493;P24941	0	0	0	0	0	0	0	0	0	0
Q00610;P53675	55347	17016	42305	42959	53529	34185	37694	68377	0	2089300
Q00839	67825	30934	98274	126880	58139	39024	61480	34025	1120.5	1292900
Q01082;P11277;O15020	12778	9109.9	18414	14043	32084	11842	11465	13970	387.1	393730
Q01105;P0DME0	4662.5	1825.7	5479.3	4264.8	5379.3	3343.8	5243.2	7435.7	0	258970
Q01130;Q9BRL6	5079.4	1372.2	4511	5366.1	8056	3639	3008.8	10588	0	301600
Q01518;P40123	16560	5051.1	19563	28419	19815	14213	12387	12832	0	513640
Q01813	511.63	1004.7	991.33	1393.1	1378.2	944.59	698.29	864.09	0	26219
Q01844	2010.5	369.33	2257.5	1177.4	2222.1	1088.7	2712.3	3115.6	0	108520
Q02218;Q9ULD0	3760.1	1300.7	2724.1	10449	2286.1	2693.5	2921.7	5223.1	0	208180
Q02413	0	0	0	0	0	0	0	0	0	0
Q02543	13669	15391	11402	24022	15052	9817.9	9106.1	19335	313.52	687540
Q02790	2235.2	953.98	1823.4	1878.2	2278.5	1212.7	1861.6	4329.7	363.22	143450
Q02809	471.64	0	531	339.77	945.56	0	327.98	399.65	0	10523
Q02818	792.76	391.11	1555.5	1139.6	1130.3	2230.3	1583.1	3092.3	0	116340
Q02878;REV__O75323	8568.8	3216.1	9587	8761.5	12672	7687	7053.3	15427	0	547180
Q02978	3002.1	975.24	3017.4	3669.3	3040.3	2589.6	2039.8	3553.1	0	116590
Q03135;P56539	4043.5	1356.5	2860.4	2650.3	5670.5	4964.8	3835	8631.7	0	262410
Q04637	1482.8	1275.4	1641.9	2182.9	2518.9	1144.7	1742.7	1052.1	0	39517
Q04760	2273.2	981.6	1796.5	2326.2	4161.8	1849	2033.4	4083.3	367.99	130600
Q04837	0	0	0	0	0	0	0	0	0	0
Q04917	4679.6	1112.7	5393	5928.9	7691.6	5359.6	6524	8880.4	0	336650
Q05519	1475.3	782.28	1269.3	1533.7	2503.7	1213.4	1197.6	4857.2	0	128890
Q05682	4731.9	2288.5	3626.6	3901.1	5363.7	3216.5	4265.3	7873.9	359.28	251890
Q06323	6602.6	13075	9125.4	17202	18813	8792.8	8552.7	8840.9	0	244170
Q06330	908.95	1183.6	1790.5	1311.3	2155	1280.3	809.2	1908.9	0	59454
Q06830	24234	8412.4	23063	36695	28110	21740	24027	45547	868.85	1588700
Q07020	5521.1	1368.2	5027.2	5600.7	7183.7	4119.5	4766.4	9033.5	0	311520
Q07065	10353	10606	11661	12673	13425	10819	13474	10964	0	401580
Q07666	0	0	0	0	0	0	0	0	0	0
Q07954;O75581;O75197	7498	4635.8	10465	7163.3	10242	5989.6	8500.7	11854	303.8	388840
Q07955	6073.3	2623.8	5571.8	6572	7625.8	5968.7	8808.4	16415	378.7	710260
Q07960	984.87	616.67	723.91	828.01	1070.3	781.5	796.46	1732.9	0	51488
Q08211	11036	7136.8	13330	11836	15778	10761	11418	18566	0	641990
Q08752	3187	3026.9	5000.2	4885.9	8620.6	4433.7	5960.7	11097	0	359080
Q08945	0	0	0	0	0	0	0	0	0	0
Q09028	7049.9	4053.8	8621.9	8986.5	10589	7195	9571.4	13139	0	394230
Q09666	44931	17737	38566	28831	42610	33673	44833	94303	912	3228500
Q10713	0	0	0	0	0	0	0	0	0	0
Q12792;Q6IBS0	1112	818.96	1961.8	1103.1	3055.9	1179.3	928.4	2117.3	0	67092
Q12874	0	0	0	0	0	0	0	0	0	0
Q12904	441.86	758.8	1132.4	974.54	1077.8	1203.1	1456.8	904.26	0	33701
Q12905	631.42	420.34	566.5	807.6	878.64	884.06	727.06	966.35	0	34756
Q12906	2074.6	1267.1	1506.2	1569.2	4095.2	2819.3	2014.6	3067.4	574.24	93418
Q12907	510.88	0	638.01	462.83	601.21	0	378.67	858.73	0	35519
Q12931	835.71	1363.4	3199.4	2008.1	10509	1674.4	1440.9	5129.1	0	116870
Q13045	601.02	1243.6	1925.4	1539.8	3267.9	421.11	623.72	787.83	0	13740
Q13098	0	0	0	0	0	0	0	0	0	0
Q13126	413.72	0	781.12	548.71	383.04	802.81	669.77	1762.2	0	38703
Q13148	2050.1	1849.7	2207.4	1920.8	2909.9	1680.6	1756.6	4249.9	0	149910
Q13151	14922	10583	20431	15993	68731	18297	19382	27772	1916.3	1133400
Q13155	0	0	0	0	0	0	0	0	0	0
Q13162	3450.8	684.12	3444.3	6212.3	4873.3	3000.4	4901.7	9827.3	0	296460
Q13185	280.18	0	0	0	335.99	0	309.03	586.46	0	16059
Q13200	3543	2087.6	4931.3	5443.2	7413.1	7930.9	4554.3	6642	0	202230
Q13217	0	0	0	0	0	0	0	0	0	0
Q13242	1677.4	594.51	1114.3	1509.5	1832.2	1445	1793.7	2089.3	0	63186
Q13243	0	0	479.45	0	318	0	386.69	645.42	0	23577
Q13247;Q08170	504.86	1540.4	2863.8	2342.2	2721	806.79	1502.9	1264.6	0	29334
Q13257	1074.8	1060.6	1467.4	6657.8	2662.4	1663.7	1675.9	1449	0	75670
Q13263	5941.2	3907.7	7513.5	6864.6	12964	6968.5	6955	13837	0	423360
Q13283	1645.4	740.72	1919.8	1672.4	2393.6	1109.1	1717.5	2701.5	0	90681
Q13308	380.1	0	0	520.22	680.01	347.11	369.22	558.74	0	6074.4
Q13310	1700.6	0	1022.7	853.11	1329.5	1435	1125.2	2417	0	92626
Q13347	4266.4	3875.5	7150.3	4779.7	6330.9	5782.5	6051.5	8545.1	0	283220
Q13423	4760.2	3016	3534.4	3455.5	7582.4	4023	4386.6	7357.4	591.54	201760
Q13435	0	0	0	0	0	0	0	0	0	0
Q13492	774.72	770.1	1250.8	565.35	1442.2	831.58	944.72	1608.5	0	33177
Q13501	0	0	0	0	0	0	0	0	0	0
Q13509	2508.3	2011.1	3041.1	3146.7	2642.1	2335	2947.9	3581.1	0	78632
Q13547;Q92769	382.53	0	474.57	585.62	1082.4	569.5	374.64	1874	0	51743
Q13576	2984.4	624.9	2391.8	3667.8	2896.7	3019.7	2537	3373.8	0	122770
Q13740	0	995.9	1196.4	868.42	1018.7	757.88	929.52	743.8	0	25569
Q13813	18362	10191	17153	17915	33712	17037	21047	27839	0	953720
Q13838	17413	17336	19893	25011	30879	27382	22682	39707	1486.4	1477200
Q13885	0	0	0	0	0	0	0	0	0	0
Q14019	2032.4	0	1699.5	1703.5	2057.7	1813.9	1914.2	2254.2	0	93150
Q14103	17422	5251.6	17326	12081	20687	12444	21057	47772	787.83	1658100
Q14152	14032	22364	21192	19399	36283	18477	13601	18259	628.64	454910
Q14157	1421.4	751.13	1286.9	1334.1	1296.7	764.55	1025.9	3291	0	48758
Q14166	0	0	0	0	0	0	0	0	0	0
Q14203	0	0	0	0	0	0	0	0	0	0
Q14204	3687.1	2771.2	5180.4	3639	4680.9	2949.5	4017.1	4557.4	0	182950
Q14240	0	0	0	0	0	0	0	0	0	0
Q14247	0	0	0	0	0	0	0	0	0	0
Q14257	1105.2	0	844.09	0	418.02	588.64	803.46	1920.1	0	70180
Q14315	8989.2	4547	9246.8	8697.4	21975	13630	13204	19673	0	618600
Q14444	3227.9	606.65	2353.2	2640.8	4168	2006.6	2828.1	5581	0	223470
Q14498	5363.9	4224.1	6283.6	5222.4	9872.8	4482.9	5472.3	5761.5	0	226540
Q14566	492.45	1129.3	1912.2	1545.4	3657.8	1845.8	1779	1977.5	0	70953
Q14573;Q14643	0	0	398.91	288.34	337.92	328.13	342.34	929.22	0	26716
Q14696	0	0	0	0	0	0	0	0	0	0
Q14697	11518	5255.3	11361	7024.7	13310	11839	9544	19266	0	488490
Q14764	5581.5	2362.1	5159.9	4640	5660.8	3301.1	3042.9	7719.5	0	267490
Q14839;Q8TDI0	0	0	0	0	0	0	0	0	0	0
Q14847	1881.9	732.47	1731.7	1428	2938.1	1843	2258.6	3018.3	0	103840
Q14934	0	0	0	0	0	0	0	0	0	0
Q14974	11733	5234.3	12786	9798.8	31318	9821.7	9660.9	14501	0	447930
Q14978	378.91	472.78	743.68	510.65	1193.3	1343.6	567.67	829.77	0	30284
Q14980	0	0	0	323.69	379.93	478.99	535.64	542.28	0	22087
Q15006	0	0	0	0	0	0	0	0	0	0
Q15008	1378.6	1246.9	2260.6	3294	3501.2	2572.8	1716.3	1723.1	0	41230
Q15019	1894.4	597.16	1868.8	1453.7	2416.8	297.47	2094	2373.8	0	86905
Q15029	6100.1	14331	8053	9969.1	12318	6700.6	5248.7	8367.4	0	213560
Q15046	3553	1885.6	4599.4	5786.4	4589.2	4399.4	3083.1	5658.6	0	185590
Q15056	1634.9	1332.5	2177.2	2369.7	2668.7	2212.5	2386.1	2402.7	0	66567
Q15084	14667	7226.3	15820	13902	56046	19860	19328	32617	1161.6	1246900
Q15121	561.13	0	436.6	479.05	337.09	542.34	0	499.47	0	15278
Q15149;P58107	68430	29097	56592	55098	76976	58489	64088	94927	3522.6	3210600
Q15181	0	0	0	0	0	0	0	0	0	0
Q15185	7978.4	5787	10395	11091	9642	7667.1	9123.4	15164	0	496220
Q15233	9513.4	2970.8	8346.7	8243.8	10859	7936.8	9208.8	11979	0	483410
Q15286	0	0	0	0	0	0	0	0	0	0
Q15287	348.08	0	0	277.59	673.25	0	408.5	525.91	0	19292
Q15365;P57723	12461	2543.5	11012	10438	13857	9286.1	11229	26616	437.46	857420
Q15366;P57721	4806.6	2002.7	4218.6	4369.2	5638.6	4133.8	5441.7	13043	0	348830
Q15369	0	0	0	596.61	570.62	438.9	0	805.31	0	22397
Q15370	0	0	295.05	302.85	0	316.7	0	753.26	0	19249
Q15388	0	0	0	0	0	0	0	0	0	0
Q15393	4229.4	2382.4	5850.1	4718.4	9189	4154.3	3912.8	8922	270.99	287500
Q15424	662.84	0	951.61	685.5	1623.7	849.92	1040	3221.9	0	69792
Q15427	0	0	0	0	0	0	0	0	0	0
Q15437	0	0	454.29	363.1	558.54	387.07	382.19	641.36	0	11238
Q15637	1946	757.21	1594.7	1212.7	2031.1	1605.6	1422.7	4919	0	145120
Q15691	0	0	0	0	0	0	0	352.36	0	5921.2
Q15717	2516	1023.1	2677.8	2135.4	4648.4	3528.5	3321.5	4810.7	0	151310
Q15819	1108.6	329.01	667.24	486.99	1029.4	349.16	701.13	1862.6	0	44678
Q15907;P62491;P57735	7863.3	4678.2	10401	13683	29722	9803.1	9765.4	14283	0	416260
Q16181;Q6ZU15	1635.4	518.11	1062.4	795.78	2639.5	1744.1	1556.4	4592.2	0	117310
Q16186	4612.9	2538.7	5010.2	3567	4366	4117	2202.8	1439	0	38360
Q16531	3856.4	10013	5748.7	5116.5	8336.7	4170.5	4085.2	8092	0	218570
Q16543	1776.6	844.4	1543.1	1683	1804.5	1542.4	902.62	1611.9	0	45940
Q16555	1763.5	1224.1	2252.4	2607.7	3142.2	1375.5	1176.6	2323.2	0	98334
Q16576	1091.6	390.68	1174.6	604.3	2356.1	847.25	1473.6	2691.5	0	109010
Q16595	0	0	0	0	0	0	0	0	0	0
Q16629	13199	5807.8	10462	14162	16411	10516	7663.7	12797	0	383700
Q16643	0	0	0	0	0	0	0	634.88	0	12790
Q16647	0	0	0	0	0	0	0	0	0	0
Q16658	31415	5821.7	12636	8881.2	18599	15333	15318	32142	457.26	1074500
Q16678	0	0	0	0	0	0	0	0	0	0
Q16698	1753.7	1202.9	1878.8	988.89	2179.8	1260	1949.5	2494.4	0	67748
Q16799	2433.7	2733.4	3830.9	4261.2	4034.6	3796.2	1288.5	2744.7	0	83858
Q16822	0	0	0	0	0	0	0	0	0	0
Q16851	0	0	0	0	0	0	0	0	0	0
Q16864	690.69	346.13	551.03	1277.3	949.16	793.16	1401.7	1472.6	0	48589
Q16881	1393.5	530.69	1650	1317.8	1821.7	968.87	762.52	1579.6	0	47932
Q16891	689.63	532.32	1411.8	1605.8	6598.8	933.31	1249.1	1675.4	0	49457
Q1KMD3	3464.1	2338	4056.6	3345.1	5109.9	4254.9	4951.5	11206	0	375870
Q32P28	1549.2	382.93	1365.6	1372.3	1651.8	575.53	1220.6	673.43	0	51938
Q3MHD2	449.29	0	1346.5	856.98	1141.2	0	748.34	967.48	0	29238
Q3SY69;O75891	0	0	0	0	0	0	0	0	0	0
Q3ZCM7	0	0	0	0	0	0	0	0	0	0
Q4VC31	0	0	0	0	0	0	0	0	0	0
Q53LP3	6301.8	1749	4386.4	8512.3	5657	3795.3	7262.2	15743	684.62	696420
Q58FF6	1798.8	2040.5	4294.6	6340.6	4188	4694.5	9301.4	16883	346.08	622470
Q58FF8	0	0	0	0	0	0	0	0	0	0
Q5JRX3	660.88	320.8	653.01	734.32	719.72	850.27	637.75	1320.1	0	53226
Q5M9N0	0	0	0	0	0	0	0	0	0	0
Q5SSJ5	0	0	0	0	0	0	0	0	0	0
Q5T749	0	0	0	0	0	0	0	0	0	0
Q5T750	0	0	0	0	0	0	0	0	0	0
Q5VVW2	0	0	0	1213.7	9766.4	66635	0	7203.5	844.46	166090
Q9NR56;Q5VZF2;Q9NUK0	6197.4	2629.2	5686.9	6411.6	7377.5	5341.8	5817.6	5772.5	0	169670
Q63HR2;Q68CZ2;Q9HBL0	609.96	0	674.46	585.17	476.27	0	0	764.22	0	29123
Q6DD88	0	0	362.34	273.95	400.65	0	784.4	1201.3	0	58388
Q6FI13;Q99878;Q96KK5;Q16777;Q93077;P0C0S8;Q9BTM1;Q7L7L0;P20671;P04908;REV__Q8NB25	238490	36715	272110	173890	327750	320520	54197	71755	2227.5	2774800
Q6NZI2	8506.7	6725.2	10471	8884.6	23033	10991	9365.4	13564	847.66	402330
Q6P1K1	0	0	0	0	0	0	0	0	0	0
Q6P2Q9	1902.8	1459.8	3266.9	2455.6	3648.7	2294.1	1441	3214.9	0	39598
Q6P5R6	1095.8	520.76	1242.7	875.6	1406.5	853.06	1033.1	1961.9	0	49339
Q6PIU2	0	0	702.84	0	527.79	0	0	563.79	0	18587
Q6UB35	0	320.42	0	0	0	286.46	0	449.22	0	8342.3
Q6UXH1	0	0	0	0	0	0	0	0	0	0
Q6WKZ4	5378.2	1365.3	5991	4585.5	4032.9	2629.6	6479	16252	832.77	757840
Q70E73	0	0	0	0	0	0	0	0	0	0
Q71U36;Q9BQE3;P0DPH8;P0DPH7;Q6PEY2;Q9NY65;A6NHL2	74154	15898	43878	42978	64205	54087	39751	81287	1990.5	2623700
Q71UM5	2106.4	346.48	1075.9	1805	2738.7	1740.7	2230.7	3713.2	0	132560
Q7KZF4	13066	5777.5	11406	10556	15302	9267.6	12237	18259	0	657500
Q7L2H7	1159.6	0	649.18	1107.6	1102.7	850.28	850.93	922.09	0	24369
Q7L576;Q96F07	3034.9	650.19	2306.3	2438.6	2962.6	2688.9	6134.4	10579	0	449840
Q7RTV0	0	0	0	0	0	0	0	0	0	0
Q7Z406	3447.3	512	1779.1	1694.2	3360.8	2788.9	2423.5	4385.4	0	117880
Q7Z5H4	1397.4	572.52	1747.2	1235.7	2741.2	3809.6	11406	21581	1144.1	1004700
Q86SX6	0	0	0	0	0	0	0	0	0	6549.7
Q86U42	2550.3	1042.5	1904.6	2826.5	2322.3	1281.4	2160	3671.3	0	69619
Q86UP2	0	0	0	0	0	0	0	0	0	0
Q86V81	3960.9	875.83	2709.4	3525.6	4601.5	2537.6	3761.7	12002	318.84	247930
Q86VP6;O75155	4030.4	1304.2	2509.8	3329.1	3691.3	2144.8	2005.2	4137.8	0	163460
Q86Y82	0	0	644.71	624.53	604.64	684.12	332.12	759.55	0	21028
Q8IXB1	467.77	0	971.28	625.62	770.82	514.91	517.18	668.83	0	37863
Q8IYT4	581.08	349.78	1509.2	1123.2	1574.7	784.31	832.18	2908.1	0	100640
Q8IZP0;Q9NYB9	610.89	529.44	1282.3	1022.2	1246.8	1336.5	1482.4	1346.3	0	49570
Q8N1F7	1302.7	0	1113.1	1334.5	1168.2	1246.7	1109.9	3561.7	0	91933
Q8N5M9	0	0	0	0	0	0	0	0	0	0
Q8NBS9	6253	4787.9	6147.3	5787.9	5409.7	2581.1	5923.1	10636	339.48	403770
Q8NBU5	0	0	0	0	0	0	0	0	0	0
Q8NC51	4646.6	791.66	10856	3531.4	4009.4	3132.5	2336.2	6589	0	150980
Q8NCW5	0	0	0	0	0	0	0	0	0	0
Q8NE01	0	0	0	0	0	0	0	0	0	0
Q8NEB9	0	0	0	0	0	0	0	0	0	0
Q8NI22	0	0	0	0	0	0	0	0	0	0
Q92922;Q8TAQ2	2291.3	2611.3	3112.9	3154.5	6016.6	3333.4	1734.3	1394.2	0	54138
Q8TBQ9	0	0	0	0	0	0	0	0	0	0
Q8WUF5	0	0	0	0	0	0	0	0	0	0
Q8WUM4	371.99	603.45	980.08	1500.3	1369.4	625.43	412.5	323.69	0	35608
Q8WVC6	0	0	0	0	0	0	0	0	0	0
Q8WVJ2	0	0	0	0	0	0	0	0	0	0
Q92499	752.79	932.2	1134.5	1357.6	1591.4	878.89	1433.1	1259.4	0	50369
Q92598	696.23	0	795.81	678.22	1158.6	860.39	864.26	2064	0	68765
Q92621	408.62	299.01	534.56	667.71	663.1	357.29	458.44	0	0	21203
Q92688	1287.9	1251.1	1753.4	2171.8	3448	3527.6	3618.6	10469	333.09	270900
Q92734	0	0	0	0	0	0	0	0	0	0
Q92743	0	0	0	0	0	263.1	338.01	0	0	10603
Q92841	1736.1	443.95	1574	1432.6	1700.4	1346.6	1592.1	1601.3	0	58925
Q92896	2079.7	802.93	2103.6	1563.2	3707.3	2143	3062.8	5123.1	0	197070
Q92900	422.37	0	1047.4	680.64	1043.4	461.76	0	0	0	14037
Q92945	7523.2	4629.7	11024	10187	16473	10856	10203	17864	0	589060
Q92973;O14787	650.75	0	619.89	693.25	1771.1	529.24	844.05	1722.8	0	86289
Q93045	669.17	0	1097.6	341.88	1457.7	1317.2	1070.3	1027.2	0	51690
Q93050	0	0	0	670.41	0	350.57	601.41	640.82	0	25300
Q969H8	0	0	0	0	0	0	0	0	0	0
Q969X5	1661.6	734.33	1559.3	1828.3	2025.9	2042.1	2137.2	2486.6	0	74101
Q96A26	7575.3	3503	31123	2399.3	1191.6	428.88	555.54	893.98	0	38223
Q96AE4	562.65	354.39	369.3	370.09	470.84	469.09	395.64	756.04	0	20198
Q96AE7	0	0	0	0	0	0	0	0	0	0
Q96AG4	8776.5	3266.8	15347	6441.5	9731.1	6098.5	7436.2	9851.9	0	313790
Q96AY3	0	0	653.4	406.85	1031.2	579.01	702.43	594.89	0	28352
Q96B26	694.01	790.76	305.26	622.04	360.77	411.17	875.75	1005.2	0	60131
Q96BM9;Q9NVJ2	322.42	435.83	1551.5	1343.3	1369.5	877.74	1330.7	3101.1	0	91112
Q96C19	0	383.67	437.85	600.61	436.25	476.88	0	0	0	6470.4
