Protein IDs	Reporter intensity 1 PNNL SC Chip1 A	Reporter intensity 2 PNNL SC Chip1 A	Reporter intensity 3 PNNL SC Chip1 A	Reporter intensity 4 PNNL SC Chip1 A	Reporter intensity 5 PNNL SC Chip1 A	Reporter intensity 6 PNNL SC Chip1 A	Reporter intensity 7 PNNL SC Chip1 A	Reporter intensity 8 PNNL SC Chip1 A	Reporter intensity 9 PNNL SC Chip1 A	Reporter intensity 10 PNNL SC Chip1 A
P62081	17847	17018	9665.1	9255.4	14105	13002	11355	19038	0	663490
P62136	8679.9	10835	9670.5	6855.2	10142	11476	6786.9	12023	0	308900
P62191	1313.4	3226.4	3447.5	1315	3770.8	1413.1	1203	1484.4	0	57575
P62195;Q8NB90	1296.3	991.13	1108.7	1286.5	1909.3	1602.7	651.86	2575.4	0	68490
P62241	15601	13919	9654.2	8795.5	10558	12395	13739	29937	0	964000
P62244	2387.7	2228.5	1494.9	1770.1	3043.3	2409.5	2672.5	4606.8	0	137040
P62249	2574.4	1976.7	1808.2	1474.2	2354.2	3121.6	1714.7	5306.9	0	142700
P62258	32894	37201	16595	15675	27193	28947	30702	44964	0	1750500
P62263	5133.7	7185.2	3770.5	4057.7	5057	6512.8	4669.7	8901.6	0	316680
P62266	11156	17654	10393	32075	16488	9666.1	8822.8	10266	0	361630
P62269	13457	43837	11230	15093	12031	11739	9240.1	16714	0	571740
P62273	0	0	0	0	0	0	0	0	0	0
P62277	15065	13883	14424	9086.6	14688	14663	13564	21487	0	684490
P62280	16213	16362	9737.5	10163	12745	13418	13535	26073	584.86	915880
P62304	0	0	0	0	0	0	0	0	0	0
P62314	757.44	1532.9	1873.5	1360.2	2054.8	747.79	978.75	2165.5	0	58851
P62316	946.3	1162.2	503.14	308.83	877.12	1201	867.3	2691.1	0	74356
P62318	1245.5	1335	1078.6	590.17	1291.2	1126.4	1610.2	2989.1	0	122020
P62328	4618.3	7286.1	4216.8	4652.1	1962.4	2003	1841.9	4167.4	0	140450
P62333	697.55	962.79	653.07	2112.7	922.32	0	748.68	1852.2	0	53431
P62424	20238	23338	14097	14716	24625	21918	19500	27769	765.87	960320
P62495	625.39	966.85	409.94	373.54	759.04	0	319.4	533.72	0	20871
P62633	4132.9	3710.3	3401.4	2965.8	5299	4376.6	3043.7	6307.1	0	228440
P62701;P22090;Q8TD47	20173	24910	15542	12709	15483	20032	15676	28839	658.54	1049600
P67775;P62714	1726.8	1864.2	932.73	981.56	2219.4	2246.2	2028	4035.9	0	163250
P62736;P63267	3619.5	3768.2	4949.1	3920.6	3595.3	2099	2033.1	1358.8	327.52	54078
P62750	5361.7	7189.5	3386.1	2514.6	4325.2	3760.1	4906.9	11935	0	355920
P62753	11731	17966	12328	6901.6	12639	11430	5774.3	7986.2	0	248270
P62805	72530	72516	51630	43745	95613	98098	25559	34897	458.26	1247900
P62820;Q9H0U4;Q92928;Q92930;P61006;P51153;P59190	15178	15869	9209.4	7522.6	21973	12513	10774	19871	356.26	780130
P62826	15331	23564	12639	9058.2	16052	14144	11329	20429	0	602350
P62829	7299.7	6706.4	4610.1	3967.1	3955.7	5586.5	5688	11595	410.86	423770
P62841	5567.3	8360.7	10759	5158.4	9805.9	4833	3594.3	4551.4	0	153270
P62847	38318	47668	19021	16826	33540	37212	6469.2	6916.3	0	201680
P62851	10488	12446	5676	6373.2	7377.6	8901.6	9724.7	19237	570.24	712040
P62854;Q5JNZ5	6213.2	6988.2	3859.1	3846.2	5626.7	4012.4	4758.2	7100.9	0	246100
P62857	10458	11804	9277.7	7760.9	7885.5	8521.4	9479.7	13818	0	484530
P62861	8440	9415	6096.7	5960	6228.3	6805.1	9218	17890	1041.1	608830
P62873;P16520	2024.9	1710.4	2141.1	1532.1	4908.8	1029.8	3294.1	5075.7	0	213380
P62877	0	0	0	0	0	0	0	0	0	0
P62879;Q9HAV0	10153	9221.1	8511.8	5860.4	9292.3	8965.3	10124	17790	0	563000
P62888	3780.9	4578.3	2867.9	2344.9	3614.1	2552.3	2667.3	5739.3	0	163650
Q59GN2;P62891	1302.7	864.71	848.55	510.07	1398.4	822.09	754.37	1759.9	0	42595
P62899	12406	17610	10134	10954	28553	11730	13191	26335	862.7	900290
P62906	10890	12966	12163	6583.1	13130	8876.7	9685	17411	955.05	540610
P62910	11709	12802	9033.6	8929.2	12820	9165.5	16593	31021	1164.7	965880
P62913	8788.6	11316	6555.8	6849.9	11364	9770.2	8202.9	17471	0	501250
P62917	18387	23099	20399	17754	32535	22351	22701	25162	1227.1	781520
P62937;P0DN26;A0A0B4J2A2;A0A075B767;A0A075B759;Q9Y536;F5H284;P0DN37;O43447	63493	91684	36904	44575	53941	58861	66437	96523	3526.8	3511100
P62942	720.24	0	305.92	292.48	0	0	417.13	344.51	0	16337
P62993	377.41	1089.2	0	0	942.11	343.57	510.9	946.59	0	54719
P63010;Q10567	4904.9	5818.6	4779.1	4320.9	8310.3	4753.3	3824.2	6642.1	0	269740
Q15836;P63027	420.13	347.7	507.04	0	601.1	645.47	0	1960.3	0	48053
P63092;Q5JWF2;P11488;P19087;A8MTJ3;P38405	2036.8	2086.9	1723.1	1277.3	1339.7	1737.6	1392.5	2732.3	0	91532
P63098	0	365.9	325.48	0	385.78	275.89	487.47	853.33	0	24069
P63104;REV__P53355	37744	47504	31923	24152	36124	39885	23371	32106	378.06	969410
P63167	5407.6	4846.5	5688.7	6154.4	4232.5	3158.3	5959	8300.3	641.95	281540
P63173	3455.8	5391.1	4328.5	2752.2	3638.8	3144.7	5210.8	7623.1	0	337230
P63208	843.08	804.82	0	510.24	1164.5	345.75	726.29	2365	0	92257
P63218	1235.8	1605.6	718.54	894.47	1423.9	1193.1	1311.4	3765.7	0	92423
P63220	0	0	0	0	0	0	0	0	0	4116.6
P63241;Q6IS14;Q9GZV4	8488.6	11778	6507.6	5641.9	7234.6	8707.3	10612	17933	0	710500
P63244	30031	33053	17633	20100	23677	24694	30809	59231	0	1995000
P63252	0	0	0	0	0	0	0	0	0	0
P63261	0	0	0	0	344.29	0	328.22	0	0	12236
P63279	1985.7	2232.6	1984.5	379.71	1962.3	1850.7	2982.6	5076.5	0	156510
P67809;Q9Y2T7;P16989	7400.6	9262.2	4240.5	6521.4	13005	6879.1	6366.9	11101	0	427840
P67870	1811.3	1511.3	2203.6	1531.6	2762.7	1929.2	1386.7	2534.1	0	92623
P67936;Q2TAC2	11095	13162	4813	3833.5	5246.2	8880.9	5353	6893.7	0	259840
P68032;P68133	5486.5	8081.5	2618.9	3066.9	4321.7	4981.7	6627.7	20305	0	624050
P68036	1403.1	2027.6	874.23	1033.1	1739.1	1767.4	1047.7	2313.9	0	77124
P68104;Q5VTE0;Q05639	148550	181300	85702	82101	109360	153320	83839	125700	4163.3	3941300
P68363;P68366	5071	4870.2	2592.8	1514.7	2798	2783.3	3607.3	11625	0	290380
P68371;P04350	1790.6	3818	1530.9	2869.9	7527	2508.9	2686.5	6342.2	414.9	144790
Q8NEV1;P68400	0	0	0	0	0	0	0	0	0	0
P68402	0	0	0	0	0	0	0	0	0	0
Q71DI3;Q16695;P84243;P68431;Q6NXT2;P0DPK2;P0DPK5	188200	166310	112560	103770	210590	237570	60179	88095	3144.8	3329700
P78344	0	0	0	0	0	0	298.9	429.62	0	18351
P78371	8901	10072	6179.1	5725.8	9329	9185.8	6116.4	16349	479.81	491030
P81605	12561	3868.6	4164.7	2924	2539.9	2261.9	2605.6	630.81	284.37	24163
P82979	1380.9	840.27	1466	1137.3	2864.6	1494.3	1919.7	2082.7	0	86174
P83731	9955.9	11706	7395.6	6106.3	8452.1	8048.6	7042.9	10603	402.98	415780
P83881;Q969Q0	1098.8	1762	1366.6	1110.9	2539.6	1546.2	2954.9	5162.8	0	151610
P84074	0	0	0	0	0	0	0	0	0	0
P84090	1398.5	2765.2	2521.4	1361.6	2398.9	2145.2	1946.4	4500.2	0	140330
P84095	790.82	1042.1	354.36	0	444.59	467.08	1015	2907	0	90884
P84098	3499.2	3186.4	1059.9	2120.3	2770.3	2176.9	2484.5	2518.5	0	117900
P84103	7991.4	9141.6	6118	5719	8079.1	5980.8	7342.1	10488	0	341300
P98095	1234.7	996.21	1160.6	292.23	576.35	0	3353.3	5373.4	0	199800
P98160	1251.3	1669.7	841.06	538.73	1682	960.37	2316.7	4405.8	0	145080
P98179	0	0	0	0	0	0	0	0	0	0
Q00325	14436	11484	5359.5	5470.4	8908	8628.3	12396	20762	457.79	780200
Q00341	11054	11011	6439	4805.1	8671	8176.1	8151.9	14600	0	450760
Q00526;P06493;P24941	1154.3	720.86	0	0	517.64	392.24	838.72	1959.6	0	63318
Q00610;P53675	55331	56280	35404	28135	39353	29653	30748	61117	0	1897400
Q00839	16423	13631	10574	9386.9	14779	12753	18529	31728	0	1182500
Q01082;P11277;O15020	16215	20116	16956	10993	21427	14487	14501	21574	370.34	699340
Q01105;P0DME0	19779	20198	15033	11639	15321	16291	14997	26311	602.91	819990
Q01130;Q9BRL6	18385	20294	15567	13802	19558	18491	9318.9	12678	527.97	336100
Q01518;P40123	4541.9	5661	3875.8	3558.4	6369.1	6142.2	7106.4	14637	309.54	414700
Q01813	553.17	754.92	698.24	665.31	902.2	781.32	478.22	708.99	0	25015
Q01844	2255.8	2801	1947.6	620.14	1775.5	1499.7	2412	4737.1	0	161070
Q02218;Q9ULD0	682.42	970.92	0	389.78	1008.1	0	1157.3	3451.4	0	91710
Q02413	0	0	0	0	0	0	0	0	0	0
Q02543	14230	21026	13293	19607	15885	14649	11156	18690	0	522970
Q02790	1754.3	2095.3	2140.7	1680.1	2246.1	2025	2007.2	4406.5	0	122560
Q02809	0	0	0	0	0	0	0	0	0	0
Q02818	421.41	1016.1	0	740.34	1182.4	0	585.33	1246.8	0	37053
Q02878;REV__O75323	19001	23782	12935	13439	20036	20704	12597	27247	0	861250
Q02978	3621.3	4010.3	2079.9	1379.6	2098.2	1717.1	1959	4163.3	0	130320
Q03135;P56539	9303.6	11509	4988.9	3667.1	7043	5081.9	7079.6	16319	606	456200
Q04637	1549.9	1573	777.17	531.62	1518.5	1395.2	328.25	894.19	0	32815
Q04760	1840.1	1859.4	1069.4	948.22	2785.4	1648.9	1546.8	2772.8	0	100120
Q04837	1116.3	934.81	1298.1	824.43	1258	375.74	1093.1	1782.5	0	52656
Q04917	1773.7	3129	1299.7	1919.9	1618.7	1969.9	1643	4647.9	0	158820
Q05519	0	972.06	0	413.22	333.8	709.3	0	608.34	0	11083
Q05682	3417.7	5043.4	682.16	1553.3	1799.8	1156.6	3792.7	5786.3	0	230930
Q06323	4298	3785.2	2893.8	3014.6	6486.2	5397.3	5433.9	9360.8	0	277090
Q06330	0	0	0	0	0	0	0	0	0	0
Q06830	17431	20009	11482	11354	15507	17555	21513	38004	344.27	1275600
Q07020	4291.1	5169	4456.2	3887.4	4325.7	5811.3	5434	10346	0	293530
Q07065	10929	22539	13633	16320	14755	12190	17308	8839.9	0	326720
Q07666	1815.5	2957.1	1055.7	2456.7	3082.8	1862.6	1584.3	4409.5	0	123500
Q07954;O75581;O75197	1759.2	2385.5	1243.6	916.41	2400.5	1783.2	1128.1	4188	0	116510
Q07955	7952.7	11678	6714	5911.8	13021	10319	12409	22184	0	776140
Q07960	1542.8	1093.5	0	455.8	700.77	565.17	504.78	1533	0	42957
Q08211	8415.9	9046.7	9078.5	6787.6	10522	7589.6	8825.5	14957	0	524850
Q08752	3817.1	4519.3	3153.6	4384.3	12897	6365.9	7288.5	12692	0	388940
Q08945	2859.1	2992.8	2347.1	2931	3174.1	3319.1	2799.5	6041.4	0	170340
Q09028	6188.4	6034.9	4280.5	2786.1	5797.7	6510.8	7130	11684	0	436260
Q09666	40969	52416	36354	19245	32883	25802	45861	88593	590.69	2915400
Q10713	807.19	775.9	1660.8	1020.1	986.8	711.56	454.3	741.33	0	23239
Q12792;Q6IBS0	2516.6	1973.4	1903.3	1212.1	2210.5	1075.7	1477.9	3077.1	0	86294
Q12874	0	0	0	0	0	0	317.14	0	0	9775.5
Q12904	0	0	0	0	0	0	0	0	0	0
Q12905	1131.4	1952.3	779.42	412	802.14	1307.2	953.76	1328.2	0	52638
Q12906	1772	2013.1	2176.4	1757	2402.6	2505.9	2135.2	3660.4	0	95437
Q12907	1518.1	871.09	353.69	896.93	2063.6	0	1745.4	2698.7	0	118150
Q12931	2393.3	1627.9	2443.3	1331.9	5380.8	1890	2492.6	4269.5	0	131680
Q13045	595.92	586.15	394.81	435.89	551.2	306.4	304.29	821.94	0	23942
Q13098	401.98	328.58	469.12	0	602.11	0	0	695.11	0	21205
Q13126	343.91	479.57	581.01	323.47	431.85	371.32	429.27	1583.2	0	51781
Q13148	2924.4	3613.6	2352.6	2056	4356.2	1363.4	2097	6372.9	0	209490
Q13151	16167	17363	13051	9082.2	18180	14964	22881	32381	329.26	1488500
Q13155	0	0	0	0	0	0	0	0	0	0
Q13162	5214.7	4104.2	4176.7	2210.7	3795.8	3559.5	3226.7	8090.5	0	272870
Q13185	3159.6	2661.6	1042.3	1415.5	2660.2	3793.3	3290.6	5616.1	0	243430
Q13200	5329.3	4378.4	4166.3	2755.1	4713.8	5053.4	3834.3	9104.7	0	281990
Q13217	957.32	849.35	435.01	460.02	1017.8	0	737.25	2018.9	0	48756
Q13242	0	0	0	0	0	0	0	0	0	0
Q13243	0	275.69	0	0	415.83	0	0	0	0	15726
Q13247;Q08170	10345	8763.4	7697.7	8136	10773	9181.4	6026.8	3632.3	0	123650
Q13257	0	0	0	0	0	0	0	0	0	0
Q13263	2523.1	4732	3531.8	2930.3	4045.7	3885.4	3384.3	6615.5	0	203620
Q13283	1217.3	1375.7	1116.2	940.47	1771	1509.7	1483.8	2515	0	77651
Q13308	0	642.23	0	321.61	329.76	0	358.26	410.79	0	10795
Q13310	1795.2	2405	928.19	1353.6	1628.1	963.9	1087.5	2310.6	0	107600
Q13347	4398.3	5520.2	4269.8	2355	7040.8	7789	4878.1	7251	0	246520
Q13423	0	0	0	0	0	0	0	0	0	0
Q13435	545.8	667.91	646.7	314.52	508.32	724.68	433.69	0	0	10515
Q13492	0	0	0	0	0	0	0	0	0	0
Q13501	0	319.55	0	0	309.94	311.17	0	1467	0	37734
Q13509	1915.3	2793.8	1413.7	1392.9	2022.2	3763	1301.5	3793.7	0	90862
Q13547;Q92769	0	0	0	0	0	0	0	0	0	0
Q13576	0	0	0	0	0	0	0	0	0	0
Q13740	0	0	0	0	0	0	0	0	0	0
Q13813	21312	24955	14108	11212	19714	17383	21334	33765	0	1191500
Q13838	17630	21069	14763	14035	22004	22628	21113	38727	1032.8	1253100
Q13885	366.3	931.85	0	822.54	426.7	1285.7	716.03	1099.9	0	35043
Q14019	837.49	1281.9	806.05	1022.9	1047.8	928.9	1148.9	2007.6	0	70027
Q14103	20119	16288	14006	10471	19095	15218	20310	34129	0	1145900
Q14152	4926.8	10734	6576	7128.6	12167	6331.3	4445.6	14190	0	293030
Q14157	1007.8	1501.9	1496.7	1571.3	2306.7	2830	1874.3	3810.7	0	97567
Q14166	0	0	0	0	0	0	0	0	0	0
Q14203	540.25	290.58	0	0	286.8	523.88	298.15	1339.4	0	30434
Q14204	4975.5	5346.8	6101.2	3654.8	5416.5	3752.7	3414	6652.1	0	185230
Q14240	0	0	0	0	0	0	0	0	0	0
Q14247	0	0	0	0	0	0	0	0	0	0
Q14257	0	0	0	0	0	0	0	0	0	0
Q14315	6644.3	7607.8	3395.4	2843.4	6296.9	2135.1	8039.4	10950	0	420340
Q14444	3878.1	4587.3	3139.3	1987	4686.9	3047.6	3607.8	5356.1	0	208900
Q14498	2022	2432.7	3064	1706.4	2802.9	2461.6	1440.3	1829.3	0	80288
Q14566	3133	3671.3	1636.7	2137.5	3949.1	3159.6	2327.9	4336.3	0	134040
Q14573;Q14643	0	0	296.19	0	333.77	0	326.68	1150.9	0	28808
Q14696	840.8	768.38	286.56	0	0	414.72	824.99	2095.7	0	72959
Q14697	9659.2	8003.8	4974.1	3011	7506.8	7788.6	5480.7	16126	506.54	414490
Q14764	2169.3	2204.1	1199.6	867.32	4368	2164.4	3682.4	6284.6	0	195510
Q14839;Q8TDI0	422.29	665.13	301.77	0	807.36	560.83	292.72	967.96	0	18700
Q14847	3103.3	2430.8	1988.6	996.69	2586.9	2569.5	1409.2	3491.2	0	88370
Q14934	0	0	0	0	0	0	0	0	0	0
Q14974	7896.5	10723	7891.9	6027	25530	8728	8021	10965	0	348390
Q14978	0	0	0	0	0	0	0	0	0	0
Q14980	416.83	945.23	0	0	1209.3	613.69	524.01	1121.2	0	24154
Q15006	0	0	0	0	0	0	0	0	0	0
Q15008	1210.4	1047.7	1321.3	1189.8	1633.3	1587.6	1206.6	1693.1	0	64411
Q15019	866.94	2204.3	1221.4	695.88	804.35	665.98	519.83	579.22	0	41450
Q15029	961.5	479.97	403.27	596.74	364.13	912.18	415.57	713.98	0	23850
Q15046	551.29	830.77	503.67	598.12	532.06	590.87	1239.1	2035.7	0	65077
Q15056	851.25	1250.2	442.58	386.09	1078.5	1192.1	878.4	1844.4	0	66674
Q15084	15360	13372	9793.4	7113.8	38489	16649	23392	21182	0	813150
Q15121	0	0	0	0	0	0	0	0	0	0
Q15149;P58107	61386	70207	51282	34508	60533	48842	47600	88736	1135.7	2884400
Q15181	0	0	0	0	0	0	0	0	0	0
Q15185	3373.3	3880.2	2975.2	2583.3	3821.7	2851.2	6787.2	12075	0	385640
Q15233	6785.4	7502.4	4463.6	4903.2	8358.6	8444.5	5026	10934	0	344470
Q15286	759.79	531.92	334.73	0	489.59	545.9	659.52	689.61	0	27037
Q15287	0	0	0	0	0	0	0	0	0	0
Q15365;P57723	7033.7	6492.5	5826.3	4126.9	7126.2	4536.9	5631.3	12607	0	364920
Q15366;P57721	7829.6	6749.9	3749.1	2889.9	5972.2	6592.7	7235.7	17231	361.37	488300
Q15369	0	0	0	0	0	0	0	0	0	0
Q15370	0	0	0	0	0	0	0	0	0	0
Q15388	555.85	497.36	317.33	0	387.78	647.36	460.61	754.81	0	40224
Q15393	4079.6	5185.5	4563.5	4677	13001	4605.2	4671.3	10461	0	273480
Q15424	0	0	0	0	0	0	0	0	0	0
Q15427	0	1102.1	404.46	355.69	907.19	347.52	401.37	302.98	0	25654
Q15437	0	0	0	0	0	0	0	0	0	0
Q15637	2103.6	1532	837.77	967.53	1173.2	1614.5	1878.9	3945.1	0	120020
Q15691	382.74	752.37	423.13	0	393.97	325.04	779.99	1383.1	0	43510
Q15717	3238	3239.4	2464.5	1621	3536.8	2103.9	3450.9	5943.7	0	216820
Q15819	0	0	0	0	0	0	0	0	0	0
Q15907;P62491;P57735	8777.7	11677	9264.2	7428	21251	10987	8015	15284	346.14	526270
Q16181;Q6ZU15	2983.5	5845.5	2482.4	2470.3	5740.3	4514.3	3906.5	6962.6	0	162760
Q16186	3437.8	4116.4	5440	2837.4	5106.1	4665.2	2617.1	1696.4	0	31391
Q16531	2946	6170	2953.8	2003.5	2637.9	2321.7	2742.8	4586.2	0	189250
Q16543	930.05	1953.2	1258.4	712.35	1320.8	784.83	326.8	691.7	0	37669
Q16555	0	0	0	0	0	0	0	0	0	0
