Protein IDs	Reporter intensity 1 PNNL SC Chip1 A	Reporter intensity 2 PNNL SC Chip1 A	Reporter intensity 3 PNNL SC Chip1 A	Reporter intensity 4 PNNL SC Chip1 A	Reporter intensity 5 PNNL SC Chip1 A	Reporter intensity 6 PNNL SC Chip1 A	Reporter intensity 7 PNNL SC Chip1 A	Reporter intensity 8 PNNL SC Chip1 A	Reporter intensity 9 PNNL SC Chip1 A	Reporter intensity 10 PNNL SC Chip1 A
Q9UGP8	0	0	0	0	0	0	0	0	0	0
Q9UHA4	831.91	730.06	611.29	758.48	978.31	892.87	675.36	643.15	0	23233
Q9UHB6	1128.5	2233.4	488	848.47	2519.3	1852	1269.3	3086.6	0	91446
Q9UHD8	3415.9	5172.2	2466.3	2135.2	2626.2	3401.6	1715.6	4019.5	0	145360
Q9UHV9	0	0	0	0	0	0	0	0	0	0
Q9UHX1	814.96	716.11	0	358.56	719.75	820.84	767.21	1392.2	0	48888
Q9UI15	4464.9	4729.1	3588.9	2536.5	3043.3	3374.8	2037.7	2955.5	0	95508
Q9UII2	3631.9	3393.7	2149.3	1387.4	1762.2	1251.9	2663.3	3507	0	156930
Q9UIJ7	0	0	0	0	0	0	0	0	0	0
Q9UKM9	1935.3	1940.2	1322.3	1214.8	2198.7	3507.3	2748.5	5818.2	0	190550
Q9UKV3	0	0	0	0	0	0	0	0	0	0
Q9UL46	471.13	929.07	330.53	480.9	964.89	1031.3	566.25	1335.1	0	26472
Q9ULV4	4665.9	4612	4561.4	3000.1	5202.8	4110.2	3952.5	7857.4	280.7	261230
Q9UM00	0	0	0	0	0	0	0	0	0	0
Q9UMS0	0	0	0	0	0	0	0	0	0	0
Q9UMS4	3410.3	3708.1	1376.6	999.11	3136.4	2477.2	1819.4	3393	0	119700
Q9UN86	352.97	574.01	0	782.33	385.94	585.36	831.23	838.65	0	32873
Q9UNF0	1173.8	739.88	850.93	553.83	1332	1132.3	686.11	1511.5	0	37710
Q9UNH7	0	0	0	0	0	0	0	0	0	0
Q9UNL2	0	0	0	0	0	0	0	0	0	0
Q9UNM6	1871.5	3048.1	1134.1	1885.2	2630.9	1544	2316.4	3887.3	0	134870
Q9UNZ2	0	0	0	0	0	0	0	0	0	0
Q9UPN3	0	0	0	0	0	0	0	0	0	0
Q9UQ80	7247.9	8293.9	6571	7574.6	8823.7	9221.6	9292.6	15222	0	542600
Q9UQE7	1378	1005.2	1189.1	1019.6	1730.6	1621.6	1211.5	1975	0	71041
Q9Y224	990.98	1855.3	1314.8	1973.3	2359.9	519.33	652.83	2072.1	0	81576
Q9Y230	3742.9	4444.3	2910.8	1199.7	3505	2278.5	3670	5139.3	0	177410
Q9Y262	3713.3	3334.4	3387.6	1561.2	3852.6	3467.6	3461.6	5528.5	0	179490
Q9Y265	359.01	562.57	588.28	976.14	2685.4	1186.3	897.19	2390.8	0	73840
Q9Y266	357.58	908.48	397.09	1076.1	1273.5	1187.5	710.45	1752.9	0	61341
Q9Y277	13617	14506	13124	9978.2	17471	13289	12808	19884	537.27	640120
Q9Y285	0	0	0	0	0	0	0	0	0	0
Q9Y2B0	2795.1	2872.6	4859.4	2629.4	5874.4	3232.4	4991.6	913.35	0	41664
Q9Y2V2	0	0	0	0	0	0	0	0	0	0
Q9Y2W1	370.66	0	361.94	513.83	717.68	851.88	302.85	391.08	0	11176
Q9Y2X3	2711.8	2775.6	3068.4	806.31	3294.6	1169.6	1459.9	3032.6	0	88354
Q9Y383;Q9NQ29	0	0	0	0	0	0	0	0	0	0
Q9Y3B3	0	0	0	0	0	0	0	0	0	0
Q9Y3D6	657.13	454.64	325.28	0	504.19	351.96	644.22	1118.1	0	37062
Q9Y3E0	0	0	0	0	0	0	0	0	0	0
Q9Y3E5	992.73	857.13	406.97	321.47	2041	895.6	809.59	2749	0	57619
Q9Y3F4	2577.4	3548.3	1667.2	1099.5	1409.5	2285.8	3481.7	6852.5	285.19	216240
Q9Y3I0	1080.7	988.24	444.61	0	1220.7	1246.6	1129.2	2772.8	0	61056
Q9Y3U8	681.65	543.56	475.3	574.73	506.68	683.53	837.59	2111.9	0	53739
Q9Y3Z3	0	0	0	0	0	0	0	0	0	0
Q9Y490	19827	29912	22672	19112	27075	25812	20970	27978	434.12	909060
Q9Y4L1	6233.2	6699.2	6216.9	6902.7	7117.3	6593.2	12518	14990	0	429250
Q9Y512	0	0	0	0	0	0	0	0	0	0
Q9Y5B9	372.39	478.81	529.11	0	735.94	425.38	765.87	1718.7	0	47282
Q9Y5K6	0	0	0	0	0	0	0	0	0	0
Q9Y5L4	4760	3849.8	5346.2	6097.7	6426.3	3934.3	4145.9	1179.5	506.77	15713
Q9Y5M8	0	0	0	0	0	0	0	0	0	0
Q9Y5S9	2345.4	1431.3	700.46	600.34	1406.8	1155.2	1969.1	2882.5	0	126610
Q9Y617	1892.8	1862.2	798.99	756.43	1295.6	1901.5	1240.5	2884	0	62986
Q9Y666	0	0	0	0	0	0	0	0	0	0
Q9Y678	385.64	462.1	0	431.19	588.99	837.82	0	533.08	0	10074
Q9Y696	1944.8	3302.5	2384.5	2430.8	2636	3024.9	1780.9	1868.9	0	48625
Q9Y6C9	1955.9	1865.6	1088.1	1301.9	4059.4	1708.7	1965.4	2812	0	134540
Q9Y6G9	1158.5	1865.4	1528.9	2161.8	1688.9	1234.8	673.41	1400.7	0	35164
Q9Y6K9	2309.4	2305.4	1580.7	797.74	653.9	953.28	803.86	2333.8	0	53366
REV__O15360	510.7	0	0	0	0	668.59	337.89	731.93	0	32956
REV__O60437	1493.3	1394	652.46	4363.9	3568.5	1420.1	1710.1	2270.7	0	98924
REV__O60506	2097.7	1561.4	720.64	819.89	1196.4	911.4	1110.2	1362.7	0	59068
REV__P33991	0	0	1238.8	0	1265	1023.1	1669.4	3245.2	0	127690
REV__P35052	0	0	0	0	0	0	0	0	0	0
REV__P98196;REV__Q9Y2G3	3171.3	3755.3	1628	1500.9	3868	2690.3	6240	10749	0	368020
REV__Q14C87	646.71	838.22	255.29	460.95	1003	495.92	1402.6	2097.1	0	94539
REV__Q8TBY8	838.15	548.55	566.87	518.71	2084.8	1315.2	2832.5	8277.6	0	203870
REV__Q8TF21	2324.2	1911.8	2160.9	704.96	2827.4	2008.5	2195.8	2285.9	0	122440
REV__Q92835	0	0	0	0	0	0	0	0	0	0
REV__Q96ST3	6501.7	8950.5	5480.1	5980.5	6728.8	5965.2	10966	20978	792.52	678990
REV__Q9NU22	48693	43502	59553	70994	48758	49171	57098	1850.2	1513.8	7157.8
